Earthquake_time,magnitude,latitude,longitude,depth,Earthquake_Location
2018/11/11 22:03,6.3,15.52,-50.03,10,北大西洋
2018/11/12 10:26,3.2,28.23,104.96,7,四川宜宾市兴文县
2018/11/13 19:17,3.8,43.18,87.28,9,新疆乌鲁木齐市乌鲁木齐县
2018/11/15 1:10,4.2,34,83.89,7,西藏阿里地区改则县
2018/11/15 2:47,4.1,43.94,94.34,8,新疆哈密市伊吾县
2018/11/15 5:21,6,55.55,162.05,60,堪察加东岸近海
2018/11/15 7:01,5.4,-2.93,119.45,10,印尼苏拉威西岛
2018/11/15 12:01,3.1,37.58,112.33,5,山西太原市清徐县
2018/11/16 1:59,3.2,35.31,81.18,7,西藏阿里地区日土县
2018/11/16 4:02,6.5,-56.75,-25.65,10,南桑威奇群岛地区
2018/11/16 6:41,2.5,43.73,87.89,24,新疆乌鲁木齐市达坂城区（有感）
2018/11/16 7:09,6.2,-56.11,-122.22,10,南太平洋
2018/11/16 11:26,6.3,-10.44,163.19,11,所罗门群岛
2018/11/16 15:01,4.3,35.52,89.61,9,西藏那曲市安多县
2018/11/18 21:40,3,36.03,82.54,7,新疆和田地区于田县
2018/11/19 0:48,3.2,41.75,81.59,6,新疆阿克苏地区拜城县
2018/11/19 4:25,6.9,-17.98,-178.8,530,斐济群岛地区
2018/11/19 11:17,3.1,42.91,122.38,13,内蒙古通辽市科尔沁左翼后旗
2018/11/19 14:19,4.4,23.96,122.48,16,台湾花莲县海域
2018/11/19 22:29,2.9,27.08,103.27,6,云南昭通市巧家县
2018/11/19 22:40,4,24.32,121.9,23,台湾宜兰县海域
2018/11/20 0:31,3.8,24.54,121.87,11,台湾宜兰县
2018/11/20 6:01,3.3,27.69,102.07,14,四川凉山州西昌市
2018/11/20 19:41,3.2,39.21,74.03,8,新疆克孜勒苏州阿克陶县
2018/11/20 19:55,3.9,32.71,90.08,10,西藏那曲市双湖县
2018/11/21 3:09,5.1,30.4,130.05,120,种子岛附近海域
2018/11/21 5:44,4.3,33.96,84.03,6,西藏阿里地区改则县
2018/11/21 13:31,3,41.79,81.59,15,新疆阿克苏地区拜城县
2018/11/21 14:53,3.7,40.38,78.72,13,新疆阿克苏地区柯坪县
2018/11/21 21:02,3.7,41.71,81.57,7,新疆阿克苏地区拜城县
